id,name,pop,labor_force,employed,unemployed,unemployment_rate,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_avg_wkly_wage,annual_contributions
13233,Polk,26096,18521.0,16871.0,1650.0,8.9,642,11059,364311902,93538362,633,2462165
13235,Pulaski,7532,4202.0,3829.0,373.0,8.9,213,2687,88885855,21525370,636,345182
13237,Putnam,13090,8148.0,7308.0,840.0,10.3,467,5488,172076950,41800482,603,1176549
13239,Quitman,1412,903.0,829.0,74.0,8.2,40,385,10236780,3463318,511,62433
13241,Rabun,9885,6827.0,6151.0,676.0,9.9,486,4554,133393892,40265922,563,802415
13243,Randolph,4438,2792.0,2504.0,288.0,10.3,188,1903,55963976,13282720,566,338356
13245,Richmond,135776,86773.0,78244.0,8529.0,9.8,4670,99596,4133190680,744391363,798,19155359
13247,Rockdale,57810,42206.0,38348.0,3858.0,9.1,2070,30410,1302587257,283015188,824,8081806
13249,Schley,3176,2133.0,1935.0,198.0,9.3,65,946,34142916,9437824,694,224637
13251,Screven,9261,5568.0,4866.0,702.0,12.6,265,3355,102064302,27654886,585,647601
13253,Seminole,5434,3140.0,2819.0,321.0,10.2,236,2213,69848126,18915209,607,313161
13255,Spalding,40635,27797.0,24604.0,3193.0,11.5,1245,20467,674417727,165023338,634,4586493
13257,Stephens,16287,11511.0,10465.0,1046.0,9.1,607,9288,314555274,74995383,651,2204553
13259,Stewart,3876,2289.0,2089.0,200.0,8.7,93,1162,39570661,11294397,655,210937
13261,Sumter,20637,13426.0,11913.0,1513.0,11.3,704,10546,312056548,74940782,569,1784505
13263,Talbot,4238,2862.0,2598.0,264.0,9.2,87,785,22390205,5631803,548,130226
13265,Taliaferro,1069,590.0,520.0,70.0,11.9,31,173,4246030,1071405,472,19658
13267,Tattnall,17931,9571.0,8808.0,763.0,8.0,368,5701,171067025,39354203,577,802889
13269,Taylor,5440,3177.0,2805.0,372.0,11.7,156,2041,55207205,16978816,520,429113
13271,Telfair,11723,5298.0,4695.0,603.0,11.4,236,3642,89537094,30026112,473,1310139
13273,Terrell,5808,3667.0,3309.0,358.0,9.8,218,2423,69961180,17768794,555,276709
13275,Thomas,28472,17809.0,16209.0,1600.0,9.0,1436,20587,777366520,168083065,726,3919176
13277,Tift,26155,18708.0,17118.0,1590.0,8.5,1185,18602,608085852,135362812,629,2759819
