id,name,pop,labor_force,employed,unemployed,unemployment_rate,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_avg_wkly_wage,annual_contributions
13063,Clayton,502908,130859.0,123136.0,7723.0,5.9,4381,112180,4327807949,901690235,742,3182175
13065,Clinch,13477,2384.0,2248.0,136.0,5.7,173,2275,55466870,15049069,469,65326
13067,Cobb,1326724,364098.0,347181.0,16917.0,4.6,19062,296618,12066181468,2689920811,782,12882736
13069,Coffee,76662,17052.0,16125.0,927.0,5.4,883,18310,450279433,151709184,473,672425
13071,Colquitt,82117,18327.0,17380.0,947.0,5.2,969,14272,317945400,96343066,428,674732
13073,Columbia,188334,50221.0,48394.0,1827.0,3.6,1670,21527,573630227,161055082,512,975613
13075,Cook,30335,7123.0,6785.0,338.0,4.7,388,5435,113848481,42038919,403,255016
13077,Coweta,188903,50851.0,48573.0,2278.0,4.5,1890,28048,798897854,217389309,548,1286811
13079,Crawford,25571,5926.0,5640.0,286.0,4.8,161,1509,31649074,8883215,403,60721
13081,Crisp,42148,9502.0,8934.0,568.0,6.0,593,8403,197177323,55680161,451,191497
13083,Dade,31747,8105.0,7731.0,374.0,4.6,240,3270,76426970,22680130,449,91414
13085,Dawson,35052,9462.0,9035.0,427.0,4.5,511,4702,116792324,34112751,478,303894
13087,Decatur,53188,11864.0,11147.0,717.0,6.0,632,10817,259635094,72512150,462,321550
13089,De Kalb,1428842,374102.0,352718.0,21384.0,5.7,16631,297974,12012651104,2319951544,775,12092604
13091,Dodge,38975,8569.0,8080.0,489.0,5.7,410,6089,136734237,35897282,432,377702
13093,Dooly,24190,4696.0,4426.0,270.0,5.7,236,3569,82047256,24091244,442,159910
13095,Dougherty,188159,40582.0,38102.0,2480.0,6.1,2681,51721,1573286526,343698074,585,1304341
13097,Douglas,199328,52839.0,50359.0,2480.0,4.7,2248,31855,868470514,260054920,524,1188078
13099,Early,22282,5541.0,5240.0,301.0,5.4,322,4694,144628802,32764266,593,153827
13101,Echols,7775,1980.0,1912.0,68.0,3.4,47,1030,13701505,6959199,256,76517
13103,Effingham,79379,20985.0,20180.0,805.0,3.8,574,7252,219362952,48528247,582,245984
13105,Elbert,39697,10153.0,9558.0,595.0,5.9,571,7520,179691333,54057850,460,314987
13107,Emanuel,42273,9899.0,9352.0,547.0,5.5,475,7283,163584250,46789775,432,359571
13109,Evans,20880,4708.0,4491.0,217.0,4.6,272,4817,108664674,34613974,434,119809
13111,Fannin,39251,9556.0,9042.0,514.0,5.4,476,4961,115204893,38965781,447,401287
13113,Fayette,191392,49998.0,48185.0,1813.0,3.6,2666,35601,1108870256,280861843,599,1796617
13115,Floyd,180167,46720.0,44377.0,2343.0,5.0,2156,39869,1227116744,299060205,592,1135320
13117,Forsyth,220754,64342.0,61713.0,2629.0,4.1,3254,36891,1316762937,332224006,686,2233709
13119,Franklin,40135,10141.0,9589.0,552.0,5.4,478,7604,184965790,58072384,468,228959
13121,Fulton,1739946,442733.0,417741.0,24992.0,5.6,36648,740747,36029497524,6557582772,935,30662167
13123,Gilmer,48340,12154.0,11626.0,528.0,4.3,451,7619,172608038,56978760,436,201130
13125,Glascock,4831,1183.0,1119.0,64.0,5.4,42,582,14814948,2623048,490,2668
13127,Glynn,133810,35365.0,33934.0,1431.0,4.0,2544,35928,997061444,259126756,534,1440508
13129,Gordon,92370,24258.0,23025.0,1233.0,5.1,1008,20214,551104198,165010370,524,670576
13131,Grady,45689,11049.0,10574.0,475.0,4.3,482,5886,136656873,39522294,446,217206
13133,Greene,28605,6298.0,5720.0,578.0,9.2,383,4664,117645809,35849746,485,155164
